2015-07-11 19:27:47 - MESSAGE - Import initialized!
2015-07-11 19:27:47 - MESSAGE - data.xml import started
2015-07-11 19:27:47 - MESSAGE - Import in progress...
2015-07-11 19:27:50 - MESSAGE - Import in progress...
2015-07-11 19:27:52 - MESSAGE - Import in progress...
2015-07-11 19:27:54 - MESSAGE - Import in progress...
2015-07-11 19:27:57 - MESSAGE - Import in progress...
2015-07-11 19:27:59 - MESSAGE - Import in progress...
2015-07-11 19:28:01 - MESSAGE - Import in progress...
2015-07-11 19:28:04 - MESSAGE - Import in progress...
2015-07-11 19:28:06 - MESSAGE - Import in progress...
2015-07-11 19:28:09 - MESSAGE - Import in progress...
2015-07-11 19:28:11 - MESSAGE - Import in progress...
2015-07-11 19:28:13 - MESSAGE - Import in progress...
2015-07-11 19:28:16 - MESSAGE - Import in progress...
2015-07-11 19:28:18 - MESSAGE - Import in progress...
2015-07-11 19:28:21 - MESSAGE - Import in progress...
2015-07-11 19:28:23 - MESSAGE - Import in progress...
2015-07-11 19:28:25 - MESSAGE - Import in progress...
2015-07-11 19:28:28 - MESSAGE - Import in progress...
2015-07-11 19:28:30 - MESSAGE - Import in progress...
2015-07-11 19:28:32 - MESSAGE - Import in progress...
2015-07-11 19:28:34 - MESSAGE - Import in progress...
2015-07-11 19:28:37 - MESSAGE - Import in progress...
2015-07-11 19:28:39 - MESSAGE - Import in progress...
2015-07-11 19:28:41 - MESSAGE - Import in progress...
2015-07-11 19:28:44 - MESSAGE - Import in progress...
2015-07-11 19:28:46 - MESSAGE - Import in progress...
2015-07-11 19:28:50 - MESSAGE - Import in progress...
2015-07-11 19:28:52 - MESSAGE - Import in progress...
2015-07-11 19:28:55 - MESSAGE - Import in progress...
2015-07-11 19:28:57 - MESSAGE - Import in progress...
2015-07-11 19:29:00 - MESSAGE - Import in progress...
2015-07-11 19:29:02 - MESSAGE - Import in progress...
2015-07-11 19:29:04 - MESSAGE - Import in progress...
2015-07-11 19:29:07 - MESSAGE - Import in progress...
2015-07-11 19:29:09 - MESSAGE - Import in progress...
2015-07-11 19:29:12 - MESSAGE - Import in progress...
2015-07-11 19:29:14 - MESSAGE - Import in progress...
2015-07-11 19:29:17 - MESSAGE - Import in progress...
2015-07-11 19:29:20 - MESSAGE - Import in progress...
2015-07-11 19:29:22 - MESSAGE - Import in progress...
2015-07-11 19:29:24 - MESSAGE - Import in progress...
2015-07-11 19:29:26 - MESSAGE - Import in progress...
2015-07-11 19:29:29 - MESSAGE - Import in progress...
2015-07-11 19:29:31 - MESSAGE - Import in progress...
2015-07-11 19:29:36 - MESSAGE - Import in progress...
2015-07-11 19:29:36 - MESSAGE - data.xml import completed
2015-07-11 19:29:36 - MESSAGE - menu location set.
2015-07-11 19:29:38 - MESSAGE - Import in progress...
2015-07-11 19:29:39 - MESSAGE - saving redux settings.
2015-07-11 19:29:39 - MESSAGE - redux settings saved.
2015-07-11 19:29:39 - MESSAGE - widgets import started.
2015-07-11 19:29:39 - MESSAGE - widgets import completed.
2015-07-11 19:29:39 - NOTICE - Revslider is not activated. You can import sliders manualy from /sample-data/revslider folder later.
2015-07-11 19:29:39 - MESSAGE - Setting home page
2015-07-11 19:29:39 - NOTICE - Home page couldn't be set.
2015-07-11 19:29:41 - MESSAGE - Import in progress...
